FECHA,LINEA,TURNO,EQUIPO,DAÑO,RAZON,TIEMPO,FRECUENCIA,AÑO,MES,,,,,,
18/01/2024,Krupp No1,,SOPLADORA KRUPP N°1,Daño en potenciometro del acumulador,Se partió niple que indica posición del acumulador,240,1,2024,ENERO,,18/01/2024,Krupp No1,SOPLADORA KRUPP N°1,Daño en potenciometro del acumulador,Se partió niple que indica posición del acumulador
18/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,25,1,2024,ENERO,,18/01/2024,Krupp No1,SOPLADORA KRUPP N°1,Limpieza de cabezal por fuga de material,Limpieza de cabezal
18/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Fuga de aceite hidraulicopor bloque de válvula,Fuga de aceite hidraulicopor bloque de válvula,60,1,2024,ENERO,,18/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Fuga de aceite hidraulicopor bloque de válvula,Fuga de aceite hidraulicopor bloque de válvula
18/01/2024,SBO2F,,SOPLADORA SBO2F,Fuga de aire en tobera puesto 2,Junta de vara en mal estado,46,1,2024,ENERO,,18/01/2024,SBO2F,SOPLADORA SBO2F,Fuga de aire en tobera puesto 2,Junta de vara en mal estado
19/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,60,2,2024,ENERO,,19/01/2024,SBO2F,SOPLADORA SBO2F,Limpieza de cabezal por fuga de material,Limpieza de cabezal
19/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Daño anillo de golpe de molde,Fabricación de nuevo anillo de golpe en taller externo,60,1,2024,ENERO,,19/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Daño anillo de golpe de molde,Fabricación de nuevo anillo de golpe en taller externo
19/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Fuga de aceite por bloque de válvula,Cambio de empaque en bloque de válvula,103,1,2024,ENERO,,19/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Fuga de aceite por bloque de válvula,Cambio de empaque en bloque de válvula
19/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Fuga de aceite y baja presión en bloque de válvula,Intervención por contratistas ITECO en sitio,60,1,2024,ENERO,,19/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Fuga de aceite y baja presión en bloque de válvula,Intervención por contratistas ITECO en sitio
19/01/2024,Refinación Física Gianazza,,TORRE DE ENFRIAMIENTO MITA,se dispara chiller,"problemas de calentamiento en motor ,se dispara y se apaga chiller",25,1,2024,ENERO,,19/01/2024,Refinación Física Gianazza,TORRE DE ENFRIAMIENTO MITA,se dispara chiller,"problemas de calentamiento en motor ,se dispara y se apaga chiller"
19/01/2024,SBO2F,,SOPLADORA SBO2F,Ajuste y alineación de tobera puesto 2,La tobera golpea boca de la botella,60,1,2024,ENERO,,19/01/2024,SBO2F,SOPLADORA SBO2F,Ajuste y alineación de tobera puesto 2,La tobera golpea boca de la botella
19/01/2024,SBO2F,,SOPLADORA SBO2F,Revisión de controladores de temperatura horno,"Mtto valida funcionamiento de controladores de temperatura, falla en zona 2 y falta controlador zona 10",62,1,2024,ENERO,,19/01/2024,SBO2F,SOPLADORA SBO2F,Revisión de controladores de temperatura horno,"Mtto valida funcionamiento de controladores de temperatura, falla en zona 2 y falta controlador zona 10"
20/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,35,2,2024,ENERO,,20/01/2024,SBO2F,SOPLADORA SBO2F,Limpieza de cabezal por fuga de material,Limpieza de cabezal
20/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla subida de postizo,Revisión eléctrica y mecánica del postizo,52,1,2024,ENERO,,20/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla subida de postizo,Revisión eléctrica y mecánica del postizo
20/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla subida de postizo,Válvula de postizo obstruida,35,1,2024,ENERO,,20/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla subida de postizo,Válvula de postizo obstruida
20/01/2024,Linea 1 Sólidos Barranquilla,,COMPRESOR VILTER No2,fallo de comunicación,fallo de comunicación,10,1,2024,ENERO,,20/01/2024,Linea 1 Sólidos Barranquilla,COMPRESOR VILTER No2,fallo de comunicación,fallo de comunicación
20/01/2024,Refinación Física Gianazza,,BOMBA DEL BLANQUEADOR CONTINUO (P3263),ruido,pérdida de ceba o presión,30,1,2024,ENERO,,20/01/2024,Refinación Física Gianazza,BOMBA DEL BLANQUEADOR CONTINUO (P3263),ruido,pérdida de ceba o presión
20/01/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),no arranca,apertura del damper,50,1,2024,ENERO,,20/01/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),no arranca,apertura del damper
21/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Daño en final de carrera en acunulador,Se parte niple final de carrera,35,1,2024,ENERO,,21/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Daño en final de carrera en acunulador,Se parte niple final de carrera
21/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Falla de pinza avance,Cadena de pínza desajustada,30,1,2024,ENERO,,21/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Falla de pinza avance,Cadena de pínza desajustada
21/01/2024,Linea 5 Litros-4 boquillas,,BOMBA DE RECUPERACIÓN DE ACEITE A3,BOMBA NO MANDA,FALLA BOMBA DE RECUPERACIÓN,120,1,2024,ENERO,,21/01/2024,Linea 5 Litros-4 boquillas,BOMBA DE RECUPERACIÓN DE ACEITE A3,BOMBA NO MANDA,FALLA BOMBA DE RECUPERACIÓN
21/01/2024,Refinación Física Gianazza,,CALDERA WANSON (H9301),no arranca,bajo nivel de agua,120,1,2024,ENERO,,21/01/2024,Refinación Física Gianazza,CALDERA WANSON (H9301),no arranca,bajo nivel de agua
22/01/2024,A1,,BANDA TRANSPORTADORAS ENVASE - CEDIS,FALLO EN BANDA,TORNILLOSALIDO DAÑANDO LAS CAJAS,30,1,2024,ENERO,,22/01/2024,A1,BANDA TRANSPORTADORAS ENVASE - CEDIS,FALLO EN BANDA,TORNILLOSALIDO DAÑANDO LAS CAJAS
22/01/2024,Bidones,,BANDA TRANSPORTADORAS ENVASE - CEDIS,FALLA BANDA,TORNILLO SUELTO DAÑANDO CAJAS,70,1,2024,ENERO,,22/01/2024,Bidones,BANDA TRANSPORTADORAS ENVASE - CEDIS,FALLA BANDA,TORNILLO SUELTO DAÑANDO CAJAS
23/01/2024,,,,Limpieza de cabezal por fuga de material,Limpieza de cabezal,18,1,2024,ENERO,,23/01/2024,Bidones,BANDA TRANSPORTADORAS ENVASE - CEDIS,Limpieza de cabezal por fuga de material,Limpieza de cabezal
23/01/2024,Krupp No2,,SOPLADORA KRUPP N°2,Fuga de agua en pinza,Manguera de agua rota en pinza,78,1,2024,ENERO,,23/01/2024,Krupp No2,SOPLADORA KRUPP N°2,Fuga de agua en pinza,Manguera de agua rota en pinza
23/01/2024,Linea 1 Sólidos Barranquilla,,PERFECTOR L1,daño solenoide salida seccion #2,corto en bobina,30,1,2024,ENERO,,23/01/2024,Linea 1 Sólidos Barranquilla,PERFECTOR L1,daño solenoide salida seccion #2,corto en bobina
23/01/2024,SBO2F,,SOPLADORA SBO2F,Daño conector de agua fondo molde 1,Cambio de conector de agua,15,1,2024,ENERO,,23/01/2024,SBO2F,SOPLADORA SBO2F,Daño conector de agua fondo molde 1,Cambio de conector de agua
23/01/2024,SBO2F,,SOPLADORA SBO2F,Tornillos partidos en compensación puesto 2,Cambio de tornillos partidos (2),5,1,2024,ENERO,,23/01/2024,SBO2F,SOPLADORA SBO2F,Tornillos partidos en compensación puesto 2,Cambio de tornillos partidos (2)
