FECHA,LINEA,TURNO,EQUIPO,DAÑO,RAZON,TIEMPO,FRECUENCIA,AÑO,MES,,,,,,
19/03/2026,Jabonería Barranquilla Binacch,2,error,motor compresora #1 se dsipara,motor compresora #1 se dispara cada ves que se aumenta el flujo en bomba de alimentacion planta binacci,258,1,2026,MARZO,,,,,,
19/03/2026,Refinación Física Gianazza,1,CONDENSADOR BAROMÉTRICO PRINCIPAL,pérdida de vacío,disparo del chiller Trane,109,1,2026,MARZO,,,,,,
19/03/2026,Refinación Física Gianazza,2,BOMBA DE ACEITE FILTRADO (P3265),PÉRDIDA DE PRESIÓN,impulsor con problemasde obstrucción y desgaste,150,1,2026,MARZO,,,,,,
20/03/2026,Jabonería Barranquilla Binacch,1,error,"cambio de posicion motores, planta binacci",se hace cambio de motores entre las compresoras 1 y 2 de la planta binacci,240,1,2026,MARZO,,,,,,
20/03/2026,Refinación Física Gianazza,1,CONDENSADOR BAROMÉTRICO PRINCIPAL,pérdida de vacío,falla controlador del chiller trane,110,1,2026,MARZO,,,,,,
20/03/2026,Refinación Física Gianazza,2,CALDERA WANSON (H9301),no arranca,nivel bajo del agua del tk de expansión,476,1,2026,MARZO,,,,,,
21/03/2026,Refinación Física Gianazza,1,CONDENSADOR BAROMÉTRICO PRINCIPAL,pérdida de presión,"daño en el chiller trane ,se cambia controlador",480,1,2026,MARZO,,,,,,
22/03/2026,A2,3,BANDA TRANSP. PRINCIPAL DE LA LLENADORA DE ENVASES,MOTOR FRENADO,MOTOR FRENADO,149,1,2026,MARZO,,,,,,
22/03/2026,Jabonería Barranquilla,3,CHILLER CARRIER,chiller hitema disparado,"chiller hitema alarmado, se pierde presion de vacio",80,1,2026,MARZO,,,,,,
22/03/2026,Krupp No1,3,SOPLADORA KRUPP N°1,sensor en mal estado reja neumatica,sensor en mal estado reja neumatica,50,1,2026,MARZO,,,,,,
23/03/2026,Jabonería Barranquilla Binacch,2,error,"bomba de trasnferimeinto atascada, daño en acople","bomba no envia prducto, bomba fuga producto por los sellos",311,1,2026,MARZO,,,,,,
24/03/2026,Linea 1 Sólidos Barranquilla,2,COMPRESOR VILTER No2,DAÑO EN BOMBA VIPLUS,DAÑO EN BOPMBA VIPLUS,220,1,2026,MARZO,,,,,,
25/03/2026,A1,1,ENCARTONADORA A1,DAÑO EN RACORD FLAUTA SISTEMA DOSIFICADOR DE CARTO,DAÑO EN RACORD FLAUTA SISTEMA DOSIFICADOR DE CARTON,25,1,2026,MARZO,,,,,,
25/03/2026,A2,1,ETIQUETADORA A2,CAMBIO DE ROPDAMIENTO RODILLO TENSOR CORREA ETIQUE,CAMBIO DE ROPDAMIENTO RODILLO TENSOR CORREA ETIQUETADORA,140,1,2026,MARZO,,,,,,
25/03/2026,Jabonería Barranquilla Binacch,2,error,correas flojas motor camara de vacio,ruido fuerte en el motor,100,1,2026,MARZO,,,,,,
25/03/2026,Linea 1 Sólidos Barranquilla,1,COMPRESOR VILTER No1,FALLO EN COMPRESOR ( CAMBIO DE FILTRO MECANICO Y A,FALLO EN COMPRESOR ( CAMBIO DE FILTRO MECANICO Y AJUSTE DE CONTROLADOR ),348,1,2026,MARZO,,,,,,
26/03/2026,A2,2,BANDAS TRANSP. DE ENVASE - CEDIS,INTEREVNCION BANDA TRANSPORTADORA A CEDIS,INTEREVNCION BANDA TRANSPORTADORA A CEDIS,50,1,2026,MARZO,,,,,,
28/03/2026,Refinación Física Gianazza,2,BOMBA DEL BLANQUEADOR CONTINUO (P3263),pérdida de presión,"bajom caudal ,se cambia la bomba",207,1,2026,MARZO,,,,,,
29/03/2026,Refinación Física Gianazza,1,BOMBA DE ACEITE DESAIREADO (P4272),NO HAY PRESION EN LA DESCARGA DE LA BBA,FALLAS MECANICAS EN LA BBA,60,1,2026,MARZO,,,,,,
30/03/2026,A2,2,LLENADORA DE ENVASES A2,FALLO LLENADORA,DAÑO MICRO SUICHE ENTRADA LLENADORA,60,1,2026,MARZO,,,,,,
30/03/2026,Linea 2 Sólidos Barranquilla,2,error,DAÑO ELECTRICO,FALLA BREAKER 220 VOLTIOS,70,1,2026,MARZO,,,,,,
30/03/2026,Linea 2 Sólidos Barranquilla,3,error,FALLA COMPRESOR,DISPARO VILTER BAJA PRESION DE SUCCION,37,1,2026,MARZO,,,,,,
30/03/2026,Refinación Física Gianazza,3,BOMBA DEL BLANQUEADOR CONTINUO (P3263),NO HAY FLUJO EN LA DESCARGA,PROBABLES OBSTRUCCIONES EN EL CARACOL DE LA BBA,96,1,2026,MARZO,,,,,,
31/03/2026,Linea 2 Sólidos Barranquilla,1,error,FALLA COMPRESOR,DISPARO TERMICO,40,1,2026,MARZO,,,,,,
31/03/2026,Refinación Física Gianazza,2,CALDERA WANSON (H9301),NO ARRANCA POST APAGADO POR PROGRAMA,FALLAS EN CONTROLADOR (METROLOGIA),53,1,2026,MARZO,,,,,,
01/04/2026,Jabonería Barranquilla Binacch,1,error,punta de tornillo primera compresora,"punta del tornillo de la primera compresora, suelto",280,1,2026,ABRIL,,,,,,
01/04/2026,Jabonería Barranquilla Binacch,2,error,punta de tornillo suelto compresora 1 binacci,punta de tornillo compresora binacci suelto,200,1,2026,ABRIL,,,,,,
01/04/2026,Jabonería Barranquilla Binacch,3,error,DAÑO ACOPLE OMEGA,daño en el acople omega de la bomba hotwel,192,1,2026,ABRIL,,,,,,
01/04/2026,Krupp No2,3,SISTEMA DE VACIO,VACIO NO SUBCIONA,TABLERO DE CONTROL NO PRESENTA IMAGEN,30,1,2026,ABRIL,,,,,,
02/04/2026,A2,3,BANDA TRANSP. ENTRADA A LA ENCARTONADORA A2,FALLA BANDA,BANDA PARTIDA,30,1,2026,ABRIL,,,,,,
02/04/2026,Jabonería Barranquilla,2,CHILLER CARRIER,chiller hitema alarmado,"chiller se alarmo mas de 3 veces en el turno, temperaturas mayores a 20°C en el egau que enfria el proceso",42,1,2026,ABRIL,,,,,,
02/04/2026,Jabonería Barranquilla,3,CHILLER CARRIER,chiller hitema alarmado,"chiller trabajada generando agua >10°C, setrabja a flujo bajo en el turno",38,1,2026,ABRIL,,,,,,
02/04/2026,Jabonería Barranquilla Binacch,2,error,chiller hitema alarmado,"chiller se alarma durante el turno mas de 3 veces, agua que va al proceso por encima de 20°C",80,1,2026,ABRIL,,,,,,
02/04/2026,Refinación Física Gianazza,1,BOMBA DE ACEITE DESAIREADO (P4272),NO HAY FLUJO EN LA DESCARGA DE LA BBA,DAÑOS MECANICOS INTERNOS,90,1,2026,ABRIL,,,,,,
03/04/2026,Jabonería Barranquilla Binacch,3,error,punta del tornillo caida,punta del tornillo desajustada en el tornillo estrusor de la compreora 1 maquina binacci,200,1,2026,ABRIL,,,,,,
04/04/2026,Jabonería Barranquilla Binacch,3,error,agitador crucher #3,"cambio de oro barra a eden coco blanco 48x200g, jabon pegado en las paredes del crucher 3, debido a que la agitacion es deficiente.",480,1,2026,ABRIL,,,,,,
04/04/2026,Refinación Química 500 Ton,2,SEPARADORA CENTRIFUGA N1,EQUIPO SE APAGA,EQUIPO SE SALE DEL MODO PRODUCCIÓN EN EL PLC,172,1,2026,ABRIL,,,,,,
04/04/2026,Refinación Química 500 Ton,3,SEPARADORA CENTRIFUGA N1,EQUIPO SE DETENE,SE SALE DEL MODO MANUAL LA CENTRIFUGA,58,1,2026,ABRIL,,,,,,
06/04/2026,Jabonería Barranquilla,1,BANDA TRANSPORTADORA DE CAJAS LLENAS,bajante que conecta banda hacia cedis,"constantes atascamientos de las cajas en el bajante a la salida de la selladora de cajas, que lleva las cajas hacia el Cedis.",170,1,2026,ABRIL,,,,,,
06/04/2026,Jabonería Barranquilla,1,BOMBA PRINCIPAL DE LA TORRE DE ENFRIAMIENTO MARLEY,flujo deficiente bomba glaciar principal,"Se cambia bomba principl de la torre glaciar por deficiencia en el flujo, se habilita la bomba auxiliar y mejora subtancialmente el flujo de agua hacia el codensador barometrico.",45,1,2026,ABRIL,,,,,,
06/04/2026,Jabonería Barranquilla Binacch,1,error,bomba de transferimiento del crutchert 2 y 3,presenta inconvenientes para tracegar el producto hacia el pulmon binacci,107,1,2026,ABRIL,,,,,,
06/04/2026,Jabonería Barranquilla Binacch,2,error,bomba de transfermiento con daños,"boma de trasnferimiento con daño, no es posible pasar jabón del crucher al pulmon binacci",400,1,2026,ABRIL,,,,,,
06/04/2026,Krupp No1,2,SOPLADORA KRUPP N°1,VARIADOR ALARMADO EXTRUSION,LINEA DE ALIMENTACION ZONA 4 DESPRENDIDA,60,1,2026,ABRIL,,,,,,
06/04/2026,Krupp No2,2,SOPLADORA KRUPP N°2,LINEA DEL CONECTOR DE LA VALVULA MOOG SUELTA,LINEA DEL CONECTOR DE LA VALVULA MOOG SUELTA,60,1,2026,ABRIL,,,,,,
07/04/2026,A1,3,LLENADORA DE ENVASES A1,SISTEMA DE APERTURA DE GRIFOS NO FUNCIONA,SISTEMA DE APERTURA DE GRIFOS NO FUNCIONA,318,1,2026,ABRIL,,,,,,
07/04/2026,Jabonería Barranquilla,1,ARMADORA DE CAJAS L1,mal encintado maquina armadora,corrugado no conforme por mal encintado en la mquina armadora de cajas,180,1,2026,ABRIL,,,,,,
07/04/2026,Jabonería Barranquilla,2,COMPRESORA N°3 L1,cambio de tornillos,"al momneto de realizar el cambio de tornillos, se encontro que los dos tornillos eran del mismo sentido, por lo cual se monto uno usado, y otro de los dos nuevos que se trajeron",259,1,2026,ABRIL,,,,,,
07/04/2026,Jabonería Barranquilla,3,COMPRESORA N°3 L1,RACORES,"DAÑO EN DOS DE LAS CORREAS DE LA COMPRESORA 1 LINEA MAZZONI, LO QUE OCACIONO QUE LOS RACORES QUE CONECTAN LAS MAGUERAS DE AIRE SE DAÑARAN",47,1,2026,ABRIL,,,,,,
07/04/2026,Jabonería Barranquilla Binacch,2,error,compresora #2 binacci,panal izquierdo se desajusta,193,1,2026,ABRIL,,,,,,
07/04/2026,Krupp No1,2,SOPLADORA KRUPP N°1,TORNILLOS PARTIDOS EN EL POSTIZO IZQUIERDO,TORNILLOS PARTIDOS EN EL POSTIZO IZQUIERDO,240,1,2026,ABRIL,,,,,,
07/04/2026,Krupp No2,2,SOPLADORA KRUPP N°2,FUGA DE ACEITE HIDRAULICO POR EL CILINDRO DEL CALI,FUGA DE ACEITE HIDRAULICO POR EL CILINDRO DEL CALIBRADOR H,150,1,2026,ABRIL,,,,,,
08/04/2026,Jabonería Barranquilla,3,BOMBA DOSIFICADORA DE PERFUME L1,BOMBA NO ESTABA DOCIFICANDO PERFUME,SE EVIDENCIA NO CAIDA VISUAL DE PERFUME EN LA CAMARA,100,1,2026,ABRIL,,,,,,
08/04/2026,Jabonería Barranquilla,3,CHILLER CARRIER,CHILLER HITEMA,CHILLER ALARMADO,80,1,2026,ABRIL,,,,,,
09/04/2026,A2,1,BANDA TRANSP. CONTROL DE PESO A2,ALINEACION BANDA VARPE,ALINEACION BANDA VARPE,13,1,2026,ABRIL,,,,,,
09/04/2026,A2,1,ENCARTONADORA A2,DAÑO EN TORNILLO FLAUTA DOSIFICADOR DE CARTON,DAÑO EN TORNILLO FLAUTA DOSIFICADOR DE CARTON,18,1,2026,ABRIL,,,,,,
09/04/2026,Jabonería Barranquilla,1,BOMBA DOSIFICADORA DE PERFUME L1,NO DOCIFICA PERFUME,SE HACE CAMBIO CON LA BOMBA DOCIFICADORA PARA JABON BETEADO,120,1,2026,ABRIL,,,,,,
09/04/2026,Jabonería Barranquilla,2,BOMBA DE ALIMENTACIÓN L1,FLUJO DE JABON DEFICIENTE,"se recibe flujo a 70 JPM bomBa alimentacion 55hz, se detiene y se sopla el filtro y se trabaja a 50hz aumenta un poco mas el flujo",100,1,2026,ABRIL,,,,,,
10/04/2026,Jabonería Barranquilla Binacch,1,error,boma de docificacion no envia producto,"bomba de docificacion de perfume no envia producto, mtto hace revison de ella",47,1,2026,ABRIL,,,,,,
10/04/2026,Krupp No1,2,SOPLADORA KRUPP N°1,PINZA NO RETROCEDE,PINZA NO RETROCEDE,40,1,2026,ABRIL,,,,,,
10/04/2026,Krupp No2,1,SOPLADORA KRUPP N°2,VALVULA MOOG LINEA SUELTA,MANGA INYECTADA POR EL CABEZAL TORCIDAD,30,1,2026,ABRIL,,,,,,
11/04/2026,Jabonería Barranquilla,1,CHILLER CARRIER,CHILLER HITEMA,"PROBLEMAS CON CHILLER HITEMA CONTINUOS DISPAROS Y ALARMAS QUE HACE QUE SE SUBA LA TEMPERATURA DEL AGUA, CMARA DE VACIO REDUCIDA",80,1,2026,ABRIL,,,,,,
14/04/2026,Refinación Física Gianazza,3,BOMBA DE ACEITE DESODORIZADO (P4273),NO HAY FLUJO EN LA DESCARGA DE LA BBA,DAÑOS MECANICOS EN LA BBA,193,1,2026,ABRIL,,,,,,
15/04/2026,Refinación Física Gianazza,3,BOMBA DOSIFICADORA DE ACIDO CÍTRICO CRUDO (P3262),NO HAY FLUJO EN LA DESCARGA DE LA BBA,DAÑOS MECANICOS VARIOS,69,1,2026,ABRIL,,,,,,
16/04/2026,Krupp No2,2,SOPLADORA KRUPP N°2,prueba de targeta moog,prueba de voltage,64,2,2026,ABRIL,,,,,,
16/04/2026,Refinación Física Gianazza,1,BOMBA DOSIFICADORA DE ACIDO CÍTRICO CRUDO (P3262),NO HAY FLUJO DE AC CITRICO,DAÑOS EN BBA DOSIFICADORA DE AC. CITRICO A BLANQUEO,237,1,2026,ABRIL,,,,,,
16/04/2026,Refinación Física Gianazza,2,BOMBA DOSIFICADORA DE ACIDO CÍTRICO CRUDO (P3262),FLUJO DEFICIENTE DE AC CITRICO EN BLANQUEO,REPROCESO DE RBD POR FOSFORO NC EN LA SOYA RBD POR DAÑO EN BBA DE AC CITRICO,189,1,2026,ABRIL,,,,,,
17/04/2026,A1,1,CHILLER,DAÑO EN PANTALLA,DAÑO EN PANTALLA,212,1,2026,ABRIL,,,,,,
17/04/2026,A2,1,CHILLER,DAÑO EN PANTALLA,DAÑO EN PANTALLA,218,1,2026,ABRIL,,,,,,
17/04/2026,Jabonería Barranquilla,1,ENVOLVEDORA 2,MORDAZA NO HACE CORTE EFECTIVO,"MAQUINA FLOW PACK, CAMBIO DE LIJA EN MORDAZA DE CORTE POR DEFICIENCIA",80,1,2026,ABRIL,,,,,,
17/04/2026,Jabonería Barranquilla,2,COMPRESORA N°2 L1,CORREAS REVENTADAS,MOTOR COMPRESORA 2 LINEA MAZZONI CON FUERTE RUIDO,80,1,2026,ABRIL,,,,,,
17/04/2026,Jabonería Barranquilla,3,COMPRESORA N°2 L1,CORREAS REVENTADAS,MOTOR COMPRESORA 2 LINEA MAZZONI DETENIDO,102,1,2026,ABRIL,,,,,,
17/04/2026,Refinación Física Gianazza,1,BOMBA DOSIFICADORA DE ACIDO CÍTRICO CRUDO (P3262),FLUJO DEFICIENTE DE AC CITRICO,REPROCESO DE RBD POR FOSFORO NC EN LA SOYA RBD POR DAÑO EN BBA DE AC CITRICO,55,1,2026,ABRIL,,,,,,
17/04/2026,Refinación Física Gianazza,3,BOMBA DOSIFICADORA DE ACIDO CÍTRICO CRUDO (P3262),NO HAY FLUJO EN LA DESCARGA,DAÑOS MECANICOS VARIOS EN LA BBA,265,1,2026,ABRIL,,,,,,
18/04/2026,Jabonería Barranquilla Binacch,3,error,CHILLER HITEMA ALARMADO,AUMENTO T DEL AGUA DE ENFRIAMIENTO PARA EL PROCESO DE JABONERÍA,47,1,2026,ABRIL,,,,,,
18/04/2026,Krupp No1,1,SOPLADORA KRUPP N°1,SENSOR ENSANCHADOR CERRADO NO DA SEÑAL,"SE ENCONTRO EL SENSOR CON UN CABLE PARTIDO, MTO LO CAMBIO.",35,1,2026,ABRIL,,,,,,
18/04/2026,Refinación Física Gianazza,3,BOMBA DOSIFICADORA DE ACIDO CÍTRICO CRUDO (P3262),EQUIPO PRESENTA ATASCAMIENTO,AVERIA INTERNA DEL EQUIPO,77,1,2026,ABRIL,,,,,,
19/04/2026,Jabonería Barranquilla,1,CHILLER CARRIER,CHILLER HITEMA ALARMADO,AUMENTO T DEL AGUA DEL PROCESO PARA JABONERIA,206,1,2026,ABRIL,,,,,,
19/04/2026,Jabonería Barranquilla,2,COMPRESORA N°2 L1,DAÑO CORREA,SE DETIENE MOTOR SEGUNDA COMPRESORA SE REVIENTA CORREA,60,1,2026,ABRIL,,,,,,
19/04/2026,Jabonería Barranquilla Binacch,1,error,CHILLER HITEMA ALARMADO,AUMENTO T DEL AGUA DE PROCESO PARA EL AREA DE JABONERIA,200,1,2026,ABRIL,,,,,,
19/04/2026,Refinación Química 500 Ton,1,SEPARADORA CENTRIFUGA N2,no separa soapstock,Pistón del depósito de agua de presión a los platos recogido,80,1,2026,ABRIL,,,,,,
20/04/2026,A2,2,BOMBA DE ALIMENTACIÓN A2,FALLA MOTOR BOMBA,DISPARO TERMICO,30,1,2026,ABRIL,,,,,,
20/04/2026,Bidones,2,LLENADORA DE BIDONES N°2,FALLA MAQUINA,CAMBIO DE MANGUERAS POR TUBERIA,241,1,2026,ABRIL,,,,,,
20/04/2026,Jabonería Barranquilla,2,CHILLER CARRIER,temperatura del agua alta,"chiller HITEMA se dispara continuamente, no se determina la razon de los continuos disparos del chiller",180,1,2026,ABRIL,,,,,,
20/04/2026,Krupp No1,3,SOPLADORA KRUPP N°1,vase cilindro neumatico tornillos partido rosca ma,limpiando cabezal,75,1,2026,ABRIL,,,,,,
21/04/2026,A2,1,BANDA TRANSP DE ACEITES Y GRASAS,FALLO BANDA,INTERVENCION BANDA,14,1,2026,ABRIL,,,,,,
21/04/2026,Krupp No1,3,SOPLADORA KRUPP N°1,TORNILLO POSTIZO DERECHO PARTIDO DENTRO DE LA ROC,POSTIZO NO CIERRA POR COMPLETO,80,1,2026,ABRIL,,,,,,
21/04/2026,Krupp No2,1,SOPLADORA KRUPP N°2,EJE DEL POTENCIOMETRO DEL ACUMULADOR DEL CABEZAL P,EJE DEL POTENCIOMETRO DEL ACUMULADOR DEL CABEZAL PARTIDO,300,1,2026,ABRIL,,,,,,
22/04/2026,A1,2,BANDA TRANSP. DE ENTRADA A LA ENCARTONADORA A1,FALLA BANDA,DAÑO MOTOR CINTA ACUMULACION ENCARTONADORA,15,1,2026,ABRIL,,,,,,
22/04/2026,A2,1,BANDA TRANSP. SALIDA DE CAJAS A2,FALLA BANDA,BANDA DESALINEADA,18,1,2026,ABRIL,,,,,,
23/04/2026,A1,1,ENCARTONADORA A1,FALLA PEGADO CAJAS,"CAMBIO DE MODULO ,BLOQUE Y BOQUILLA",80,1,2026,ABRIL,,,,,,
23/04/2026,A2,1,ENCARTONADORA A2,FALLA DOSIFICACION DE CARTON,SENSOR PALA ARRASTRE AVERIADO,17,1,2026,ABRIL,,,,,,
23/04/2026,Jabonería Barranquilla,2,CORTADORA DE JABONES EASYCUT,puente cortadora partido,jabones se caen y/o atascan una vez salen de la cortadora,50,1,2026,ABRIL,,,,,,
23/04/2026,Krupp No2,2,SOPLADORA KRUPP N°2,problema con la boca del bidon,se encontró el ensanchador todo desajustado se bajo y se ajusto todo y se volvió a montar.,350,1,2026,ABRIL,,,,,,
23/04/2026,Refinación Química 500 Ton,2,BOMBA HIDROFLOW,baja presión,defciencia de presión en la bomba,60,1,2026,ABRIL,,,,,,
23/04/2026,SBO2F,1,SOPLADORA SBO2F,DAÑO DE ROTULADEL CILINDRO DE ESTIRADO,DAÑO DE ROTULADEL CILINDRO DE ESTIRADO PUESTO #2,262,1,2026,ABRIL,,,,,,
24/04/2026,Krupp No2,1,error,SE PARTE BASE CALIBRADOR HIDRAULICO,SE PARTE BASE CALIBRADOR HIDRAULICO,180,1,2026,ABRIL,,,,,,
25/04/2026,Krupp No2,1,SOPLADORA KRUPP N°2,reparacion de boca del molde 20L,reparación de boca del molde 20L,300,1,2026,ABRIL,,,,,,
25/04/2026,Krupp No2,2,SOPLADORA KRUPP N°2,la tapa del bidon se pela.,"se encontró las roscas de la boca del molde en mal estado, mtto la mando para taller externo.",480,1,2026,ABRIL,,,,,,
26/04/2026,Jabonería Barranquilla,3,BOMBA AUXILIAR DE LA TORRE DE ENFRIAMIENTO MARLEY,tornillo y arandela de presion que sotiene el impu,bombas proncipal y auxiliar torre Glaciar con daño. no cogen ceba no envian agua al sistema de vacio de la planta,259,1,2026,ABRIL,,,,,,
26/04/2026,Refinación Física Gianazza,1,CALDERA WANSON (H9301),EQUIPO SIN NIVEL DE AGUA,FUGA EN TUBERIA DE SALIDA DEL EQUIPO,125,1,2026,ABRIL,,,,,,
26/04/2026,Refinación Física Gianazza,2,CALDERA WANSON (H9301),No enciende,bajo nivel de agua,442,1,2026,ABRIL,,,,,,
26/04/2026,Refinación Química 500 Ton,3,BOMBA HIDROFLOW,caída de presión,problemas con la vejiga de la bomba,120,1,2026,ABRIL,,,,,,
27/04/2026,Krupp No1,1,SOPLADORA KRUPP N°1,bidon con una rebaba en la parte superior hombro.,tornillos partidos del postizo lado izquierdo.,20,1,2026,ABRIL,,,,,,
27/04/2026,Krupp No2,1,SOPLADORA KRUPP N°2,al momento de inyectar la maquina sale el material,zona #5 y 6 no estaban consumiendo lo que era en amperio porque estaban unos cables sueltos. se tuvo que poner a calentar esas zonas nuevamente despues del arreglo.,480,1,2026,ABRIL,,,,,,
27/04/2026,Refinación Química 500 Ton,1,BOMBA HIDROFLOW,no levanta presión,Problemas con la vejiga,170,1,2026,ABRIL,,,,,,
27/04/2026,Refinación Química 500 Ton,2,SEPARADORA CENTRIFUGA N1,NO SEPARA,DISMINUCCIÓN OSTENSIBLE DE LA RPM,340,1,2026,ABRIL,,,,,,
27/04/2026,Refinación Química 500 Ton,3,BOMBA HIDROFLOW,pérdida de presión,Desmonte y revisión de la vejiga,175,1,2026,ABRIL,,,,,,
28/04/2026,A2,2,LLENADORA DE ENVASES A2,daño en rodamiento del riel,daño en rodamiento del riel,36,1,2026,ABRIL,,,,,,
01/05/2026,A2,2,BANDAS TRANSP. DE ENVASE - CEDIS,DISPARO TERMICO BANDA PUENTE CEDIS,DISPARO TERMICO BANDA PUENTE CEDIS,10,1,2026,MAYO,,,,,,
01/05/2026,Krupp No1,3,SOPLADORA KRUPP N°1,cilindro hidraulico no avanza,se soltó el cilindro neumático que lo hace correr.,40,1,2026,MAYO,,,,,,
02/05/2026,Bidones,1,BANDAS TRANSPORTADORAS DE ACEITES Y GRASAS,INTERVENCION POR PARTE DEL PERSONAL DE BSM,INTERVENCION POR PARTE DEL PERSONAL DE BSM,35,1,2026,MAYO,,,,,,
05/05/2026,Jabonería Barranquilla,2,COMPRESORA N°1 L1,tornillos compresora #1,se recibe linea detenida esperando los tornillos de la primera comprensora mtto con los soldadores estan montando los tornillos y rectificando la camisa que tiene un golpe que no deja que entren,440,1,2026,MAYO,,,,,,
05/05/2026,Jabonería Barranquilla,3,COMPRESORA N°1 L1,tornillos compresora #1,personal de mtto se encuentra interviniendo el tornillos de la comprensora #1,440,1,2026,MAYO,,,,,,
05/05/2026,Refinación Física Gianazza,3,TANQUE BLANQUEADOR CONTINUO (A3261),PERDIDA DE VACÍO EN ETAPA DE BLANQUEO,PERDIDA DE HERMETICIDAD EN TANQUE BLANQUEADOR,442,1,2026,MAYO,,,,,,
06/05/2026,A1,1,LLENADORA DE ENVASES A1,DAÑO EN TRASLAPE BANDA ELEVADORA DE TAPAS JIRAFA,DAÑO EN TRASLAPE BANDA ELEVADORA DE TAPAS JIRAFA,70,1,2026,MAYO,,,,,,
06/05/2026,A2,3,BOMBA DE ALIMENTACIÓN A2,TERMICO DISPARADO,TERMICO DISPARADO,25,1,2026,MAYO,,,,,,
06/05/2026,Jabonería Barranquilla,1,COMPRESORA N°1 L1,tornilllos defectusosos,tornillos de la compresora 1 de la línea mazzoni esto se encontraban defectuosos y generaron problemas durante el turno 3,360,1,2026,MAYO,,,,,,
07/05/2026,A2,3,ENCARTONADORA A2,DAÑO EN REDUCTOR MOTOR SISTEMA DE DOSIFICACION DE,DAÑO EN REDUCTOR MOTOR SISTEMA DE DOSIFICACION DE CARTON,178,1,2026,MAYO,,,,,,
07/05/2026,Jabonería Barranquilla,1,BANDA TRANSPORTADORA DE CAJAS LLENAS,pegue de la banda deteriorada,"banda se le suelta los pines, se suelta del cuerpo",150,1,2026,MAYO,,,,,,
07/05/2026,Jabonería Barranquilla,1,CODIFICADOR DE JABON,cable en mal estado,"codificación errada en los jabones, algunos jabones no eran lotiados",120,1,2026,MAYO,,,,,,
07/05/2026,Jabonería Barranquilla,2,SELLADORA DE CAJAS L1,cajas mal cerradas y dañadas,legando las cajas abierta y se esta dañando las cajas en la parte de abajo / platina caida a la entrada de la encintadora daña las cajas,227,1,2026,MAYO,,,,,,
07/05/2026,Jabonería Barranquilla,3,SELLADORA DE CAJAS L1,"daño en cajas, mal encintada y daño por debajo","problema en la encintadora caja, se detiene nuevamente por intervecion en la platina de la entrada en la encintadora",307,1,2026,MAYO,,,,,,
07/05/2026,Jabonería Barranquilla Binacch,3,error,reduccion de la camara de vacío,"motor de la compresora 1 comienza con ruido y recalentamiento, tornillos de la compresora se detienen, causa que la camra se llenara de jabón",47,1,2026,MAYO,,,,,,
07/05/2026,Refinación Física Gianazza,1,DOSIFICADOR DE TIERRA N°2 (DS3262),SE FRENA TORNILLO DOSIFICADOR DE TIERRAS DE BLANQU,DAÑOS EN EL MOTOR,177,1,2026,MAYO,,,,,,
07/05/2026,Refinación Química 500 Ton,2,BOMBA DEL TANQUE 1R,perdida de presión,tornillos sueltos y partidos .,172,1,2026,MAYO,,,,,,
07/05/2026,Refinación Química 500 Ton,3,BOMBA DEL TANQUE 1R,EQUIPO FUERA DE OPERACIÓN,DAÑO EN TORNILLO INTERNO DE LA BOMBA,240,1,2026,MAYO,,,,,,
07/05/2026,SBO6,1,SOPLADORA SBO6,Sensor ausencia pinza de transferencia en mal esta,Sensor ausencia pinza de transferencia en mal estado y fallando,200,1,2026,MAYO,,,,,,
07/05/2026,SBO6,2,error,Sensor ausencia pinza de transferencia en mal esta,Sensor ausencia pinza de transferencia en mal estado y fallando,145,1,2026,MAYO,,,,,,
08/05/2026,Jabonería Barranquilla,1,CÁMARA DE VACIO L1,pase de condensado valvula de soplo,"presencia de humedad en el jabon, tornillos de las compresoras se patinan por la alta fluidez del jabon, se detiene, se saca el jabon no conforme.",195,1,2026,MAYO,,,,,,
08/05/2026,Jabonería Barranquilla,2,CHILLER CARRIER,CHILLER HITEMA: BOMBA PRINCIPAL CABITANDO,TEMPERATURA ALTA EN LAS COMPRESORAS,157,1,2026,MAYO,,,,,,
08/05/2026,Jabonería Barranquilla,2,CÁMARA DE VACIO L1,VALVULA DE SOPLO CAMARA DE VACIO CON PASE DE CONDE,"JABÓN CON PRESENCIA DE HUMEDAD, SE DA EL ESPACIO PAR CAMBIO POR PART DE MTTO.",120,1,2026,MAYO,,,,,,
08/05/2026,Jabonería Barranquilla Binacch,1,error,daño En el motor de la compresora 1,"motor recalentado se freno, daño en retenedores, repocision de aceite en el motor",240,1,2026,MAYO,,,,,,
08/05/2026,Jabonería Barranquilla Binacch,2,error,tornillo izquierdo compresora 1 con punta caida,"tornillo frenado, no sale jabón",192,1,2026,MAYO,,,,,,
08/05/2026,Jabonería Barranquilla Binacch,3,error,motor de la compresora 1 recalentandose,"camara de vacio se reduce debido a que el motor de compresora al recalentarse se proteje y deja de funcionar los tornillo, la camara se reduce por que no se esta consumiendo el jabón.",132,1,2026,MAYO,,,,,,
08/05/2026,Krupp No1,1,error,bidon debil en la parte inferior.,el parinson de la maquina o programa no esta respondiendo.,127,1,2026,MAYO,,,,,,
08/05/2026,Refinación Física Gianazza,3,BOMBA DEL BLANQUEADOR CONTINUO (P3263),EQUIPO PIERDE CEBA,ENTRADA DE AIRE EN EQUIPO,97,1,2026,MAYO,,,,,,
